index,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
42,League,Varun Aaron,Eden Gardens,KKR,RR,Rajasthan Royals,field,RR,3.0,wicket,175.0,2019,"['43rd', 'Match']"
43,League,Rohit Sharma,Chennai,MI,CSK,Chennai Super Kings,field,MI,46.0,runs,155.0,2019,"['44th', 'Match']"
44,League,Jaydev Unadkat,Jaipur,SRH,RR,Rajasthan Royals,field,RR,7.0,wicket,160.0,2019,"['45th', 'Match']"
45,League,Shikhar Dhawan,Delhi,DC,RCB,Delhi Capitals,bat,DC,16.0,runs,187.0,2019,"['46th', 'Match']"
46,League,Andre Russell,Eden Gardens,KKR,MI,Mumbai Indians,field,KKR,34.0,runs,232.0,2019,"['47th', 'Match']"
47,League,David Warner,Hyderabad,SRH,KXIP,Kings XI Punjab,field,SRH,45.0,runs,212.0,2019,"['48th', 'Match']"
48,League,Andre Russell,Eden Gardens,KKR,MI,MI,Field,KKR,34.0,Runs,233.0,2019,47th Match
49,League,MS Dhoni,Chennai,CSK,DC,Delhi Capitals,field,CSK,80.0,runs,179.0,2019,"['50th', 'Match']"
50,League,Jasprit Bumrah,Wankhede,MI,SRH,Mumbai Indians,bat,MI,0.0,runs,162.0,2019,"['51st', 'Match']"
51,League,Shubman Gill,Mohali,KXIP,KKR,Kolkata Knight Riders,field,KKR,7.0,wicket,183.0,2019,"['52nd', 'Match']"
52,League,Amit Mishra,Delhi,RR,DC,Rajasthan Royals,bat,DC,5.0,wicket,115.0,2019,"['53rd', 'Match']"
53,League,Shimron Hetmyer,Bengaluru,SRH,RCB,Royal Challengers Bangalore,field,RCB,4.0,wicket,175.0,2019,"['54th', 'Match']"
54,League,KL Rahul,Mohali,CSK,KXIP,Kings XI Punjab,field,Kings,6.0,wicket,170.0,2019,"['55th', 'Match']"
55,League,Hardik Pandya,Wankhede,KKR,MI,Mumbai Indians,field,MI,9.0,wicket,133.0,2019,"['56th', 'Match']"
56,Qualifier 1,Suryakumar Yadav,Chennai,CSK,MI,Chennai Super Kings,bat,MI,6.0,wicket,131.0,2019,Qualifier 1
