Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
Final,Kieron Pollard,DY Patil,MI,RCB,Mumbai Indians,bat,MI,35,runs,184,2010,SemiFinal_1
Final,Doug Bollinger,DY Patil,CSK,DCH,Chennai Super Kings,bat,CSK,38,runs,142,2010,SemiFinal_2
League,Anil Kumble,DY Patil,DCH,RCB,Deccan Chargers,bat,RCB,9,wicket,82,2010,"['3rd', 'Place']"
Final,Suresh Raina,DY Patil,CSK,MI,Chennai Super Kings,bat,CSK,22,runs,168,2010,Final
League,Srikkanth Anirudha,Chennai,CSK,KKR,Chennai Super Kings,bat,CSK,2,runs,153,2011,"['1st', 'match']"
League,Siddharth Trivedi,Hyderabad,DCH,RR,Rajasthan Royals,field,RR,8,wicket,137,2011,"['2nd', 'match']"
League,AB de Villiers,Kochi,Kochi,RCB,Kochi Tuskers Kerala,bat,RCB,6,wicket,161,2011,"['3rd', 'match']"
League,Lasith Malinga,Delhi,DC,MI,Delhi Daredevils,bat,MI,8,wicket,95,2011,"['4th', 'match']"
League,Shrikant Wagh,DY Patil,KXIP,PWI,Kings XI Punjab,bat,Warriors,7,wicket,112,2011,"['5th', 'match']"
League,Jacques Kallis,Eden Gardens,KKR,DCH,Kolkata Knight Riders,bat,KKR,9,runs,163,2011,"['6th', 'match']"
League,Shane Warne,Jaipur,DC,RR,Delhi Daredevils,bat,RR,6,wicket,151,2011,"['7th', 'match']"
League,Sachin Tendulkar,Bengaluru,RCB,MI,Mumbai Indians,field,MI,9,wicket,140,2011,"['8th', 'match']"
League,Paul Valthaty,Mohali,CSK,KXIP,Kings XI Punjab,field,Kings,6,wicket,188,2011,"['9th', 'match']"
League,Mohnish  Mishra,DY Patil,Kochi,PWI,Kochi Tuskers Kerala,bat,Warriors,4,wicket,148,2011,"['10th', 'match']"
League,Dale Steyn,Hyderabad,DCH,RCB,Royal Challengers Bangalore,field,Chargers,33,runs,175,2011,"['11th', 'match']"
League,Gautam Gambhir,Jaipur,RR,KKR,Kolkata Knight Riders,field,KKR,9,wicket,159,2011,"['12th', 'match']"
League,Brendon McCullum,Wankhede,MI,Kochi,Kochi Tuskers Kerala,field,Kochi,8,wicket,182,2011,"['13th', 'match']"
League,Michael Hussey,Chennai,CSK,RCB,Chennai Super Kings,bat,CSK,21,runs,183,2011,"['14th', 'match']"
League,Paul Valthaty,Hyderabad,DCH,KXIP,Kings XI Punjab,field,Kings,8,wicket,165,2011,"['15th', 'match']"
League,Yuvraj Singh,DY Patil,PWI,DC,Delhi Daredevils,field,Daredevils,3,wicket,187,2011,"['16th', 'match']"
League,Lakshmipathy Balaji,Eden Gardens,RR,KKR,Kolkata Knight Riders,field,KKR,8,wicket,81,2011,"['17th', 'match']"
League,Brendon McCullum,Kochi,CSK,Kochi,Kochi Tuskers Kerala,field,Kochi,7,wicket,131,2011,"['18th', 'match']"
League,Sunny Sohal,Delhi,DCH,DC,Deccan Chargers,bat,Chargers,16,runs,168,2011,"['19th', 'match']"
