Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Rinku Singh, Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat_First,Kolkata Knight Riders,6 Wickets,Wickets,145,60,2023
League,Shubman Gill, Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Gujarat Titans,34 Runs,Runs,189,61,2023
League,Marcus Stoinis, Lucknow,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Field_First,Lucknow Super Giants,5 Runs,Runs,178,62,2023
League,Rilee Rossouw, Dharamsala,Delhi Capitals,Punjab Kings,Punjab Kings,Field_First,Delhi Capitals,15 Runs,Runs,214,63,2023
League,Virat Kohli, Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field_First,Royal Challengers Bangalore,8 Wickets,Wickets,187,64,2023
League,Devdutt Padikkal, Dharamsala,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,4 Wickets,Wickets,188,65,2023
League,Ruturaj Gaikwad, Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Bat_First,Chennai Super Kings,77 Runs,Runs,224,66,2023
League,Nicholas Pooran, Eden Gardens,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Lucknow Super Giants,1 Runs,Runs,177,67,2023
League,Cameron Green, Wankhede,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field_First,Mumbai Indians,8 Wickets,Wickets,201,68,2023
League,Shubman Gill, Bengaluru,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,Field_First,Gujarat Titans,6 Wickets,Wickets,198,69,2023
Qualifier 1,Ruturaj Gaikwad, Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Field_First,Chennai Super Kings,15 Runs,Runs,173,70,2023
Eliminator,Akash Madhwal, Chennai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,Bat_First,Mumbai Indians,81 Runs,Runs,183,71,2023
Qualifier 2,Shubman Gill, Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,Field_First,Gujarat Titans,62 Runs,Runs,234,72,2023
Final,Sai Sudharsan, Ahmedabad,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Field_First,Gujarat Titans,43 Runs,Runs,215,73,2023
League,Mustafizur Rahman, Chennai,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Bat_First,Chennai Super Kings,6 Wickets,Wickets,174,1,2024
League,Sam Curran, Mullanpur,Delhi Capitals,Punjab Kings,Punjab Kings,Field_First,Punjab Kings,4 Wickets,Wickets,175,2,2024
League,Andre Russell, Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Kolkata Knight Riders,4 Runs,Runs,209,3,2024
League,Sanju Samson, Jaipur,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Bat_First,Rajasthan Royals,20 Runs,Runs,194,4,2024
League,Sai Sudharsan, Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,Field_First,Gujarat Titans,6 Runs,Runs,169,5,2024
League,Virat Kohli, Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field_First,Royal Challengers Bengaluru,4 Wickets,Wickets,177,6,2024
League,Shivam Dube, Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Field_First,Chennai Super Kings,63 Runs,Runs,207,7,2024
League,Abhishek Sharma, Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field_First,Sunrisers Hyderabad,31 Runs,Runs,278,8,2024
League,Riyan Parag, Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field_First,Rajasthan Royals,12 Runs,Runs,186,9,2024
League,Sunil Narine, Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Kolkata Knight Riders,7 Wickets,Wickets,183,10,2024
League,Mayank Yadav, Lucknow,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Bat_First,Lucknow Super Giants,21 Runs,Runs,200,11,2024
League,Mohit Sharma, Ahmedabad,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,Bat_First,Gujarat Titans,7 Wickets,Wickets,163,12,2024
